query_id,template_id,template_label,warehouse_size,query_text
t26_s4,t26,8M rows · 3 joins · no group by · order by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    order by amount_total desc
    limit 1000"
t02_s1,t02,3M rows · 3 joins · group by · window · order by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        region_name,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, region_name, customer_id
    order by amount_total desc
    limit 1000"
t17_s4,t17,5M rows · 1 join · no group by · window · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 1000"
t58_s2,t58,5M rows · 0 joins · group by · window · limit 100,X-Small,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_id
    limit 100"
t46_s2,t46,8M rows · 1 join · group by · window · order by · limit 100,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, customer_id
    order by amount_total desc
    limit 100"
t28_s4,t28,2M rows · 3 joins · group by · limit 100,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    )

    select
        customer_segment,
        product_category,
        region_name,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_segment, product_category, region_name, customer_id
    limit 100"
t51_s4,t51,2M rows · 0 joins · group by · no limit,Small,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    )

    select
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_id"
t05_s1,t05,3M rows · 3 joins · no group by · order by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    order by amount_total desc
    limit 1000"
t43_s3,t43,8M rows · 1 join · no group by · order by · limit 100,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    order by amount_total desc
    limit 100"
t20_s1,t20,2M rows · 2 joins · no group by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    limit 1000"
t26_s1,t26,8M rows · 3 joins · no group by · order by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    order by amount_total desc
    limit 1000"
t08_s3,t08,5M rows · 0 joins · no group by · window · limit 1000,Medium,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 1000"
t58_s4,t58,5M rows · 0 joins · group by · window · limit 100,Medium,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_id
    limit 100"
t13_s1,t13,5M rows · 2 joins · group by · window · order by · limit 100,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, customer_id
    order by amount_total desc
    limit 100"
t01_s2,t01,3M rows · 1 join · no group by · window · order by · limit 100,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    order by amount_total desc
    limit 100"
t10_s3,t10,2M rows · 3 joins · no group by · window · limit 100,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 100"
t55_s3,t55,5M rows · 2 joins · group by · window · limit 100,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, customer_id
    limit 100"
t38_s4,t38,3M rows · 2 joins · no group by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    limit 1000"
t03_s2,t03,8M rows · 2 joins · no group by · window · no limit,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked"
t10_s4,t10,2M rows · 3 joins · no group by · window · limit 100,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 100"
t60_s2,t60,3M rows · 2 joins · group by · window · order by · no limit,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, customer_id
    order by amount_total desc"
t06_s2,t06,2M rows · 1 join · no group by · window · order by · no limit,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    order by amount_total desc"
t15_s1,t15,8M rows · 0 joins · group by · no limit,Small,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    )

    select
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_id"
t18_s2,t18,2M rows · 2 joins · group by · no limit,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    )

    select
        customer_segment,
        product_category,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_segment, product_category, customer_id"
t31_s4,t31,2M rows · 1 join · no group by · window · limit 100,Medium,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 100"
t12_s2,t12,2M rows · 0 joins · no group by · no limit,Medium,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered"
t28_s3,t28,2M rows · 3 joins · group by · limit 100,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    )

    select
        customer_segment,
        product_category,
        region_name,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_segment, product_category, region_name, customer_id
    limit 100"
t07_s3,t07,2M rows · 2 joins · group by · window · limit 100,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, customer_id
    limit 100"
t38_s2,t38,3M rows · 2 joins · no group by · limit 1000,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    limit 1000"
t21_s1,t21,2M rows · 3 joins · group by · order by · no limit,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 20
    )

    select
        customer_segment,
        product_category,
        region_name,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_segment, product_category, region_name, customer_id
    order by amount_total desc"
t08_s2,t08,5M rows · 0 joins · no group by · window · limit 1000,Small,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 1000"
t27_s3,t27,8M rows · 0 joins · group by · window · order by · no limit,X-Small,"with
    filtered as (
        select
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_x as fact_event
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 450
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_id
    order by amount_total desc"
t17_s2,t17,5M rows · 1 join · no group by · window · limit 1000,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_l as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 1000"
t33_s4,t33,2M rows · 1 join · group by · no limit,Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    )

    select
        customer_segment,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products
    from filtered
    group by customer_segment, customer_id"
t02_s4,t02,3M rows · 3 joins · group by · window · order by · limit 1000,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            dim_region_wl.region_name,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_m as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        inner join dim_region_wl on fact_event.region_id = dim_region_wl.region_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 900
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        customer_segment,
        product_category,
        region_name,
        customer_id,
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    group by customer_segment, product_category, region_name, customer_id
    order by amount_total desc
    limit 1000"
t52_s2,t52,2M rows · 2 joins · no group by · window · limit 100,X-Small,"with
    filtered as (
        select
            dim_customer_wl.customer_segment,
            dim_product_wl.product_category,
            fact_event.customer_id,
            fact_event.product_id,
            fact_event.amount
        from fact_event_s as fact_event
        inner join dim_customer_wl on fact_event.customer_id = dim_customer_wl.customer_id
        inner join dim_product_wl on fact_event.product_id = dim_product_wl.product_id
        where cast(substr(fact_event.event_code, 3, 3) as integer)
            < 150
    ),

    ranked as (
        select
            filtered.*,
            row_number() over (
                partition by filtered.customer_id
                order by filtered.amount desc
            ) as amount_rank
        from filtered
    )

    select
        count(*) as query_rows,
        sum(amount) as amount_total,
        count(distinct product_id) as products,
        max(amount_rank) as deepest_rank
    from ranked
    limit 100"
